Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Nov 1, 2024;Nov 2, 2024;98,094.00;35,163.50;102,662.75;398,618.50;64,565.25;2,294.25;-;196,095.00;52,955.00;122,080.75;17,172.00;28,140.50
Nov 2, 2024;Nov 3, 2024;99,324.00;33,668.25;29,184.50;113,006.75;71,938.00;2,215.75;-;256,552.00;81,516.25;132,606.75;24,963.75;29,134.75
Nov 3, 2024;Nov 4, 2024;98,841.75;32,403.50;44,813.25;109,632.75;129,767.50;2,156.75;-;246,460.25;81,183.75;122,427.50;11,668.00;29,175.75
Nov 4, 2024;Nov 5, 2024;99,313.75;36,575.00;10,786.50;97,960.75;86,671.00;2,115.00;-;266,101.25;154,802.25;257,566.50;29,566.50;30,376.50
Nov 5, 2024;Nov 6, 2024;101,232.25;39,630.00;15,374.75;92,252.00;76,563.00;2,235.50;-;276,050.50;154,561.00;289,736.00;30,988.00;30,250.75
Nov 6, 2024;Nov 7, 2024;104,210.25;45,958.50;179.00;7,034.50;37,090.00;2,134.50;-;285,923.00;165,835.75;347,973.75;42,231.00;33,960.75
Nov 7, 2024;Nov 8, 2024;104,328.50;44,654.50;14,827.25;29,172.50;22,409.75;2,160.75;-;309,833.50;156,967.25;348,021.75;38,227.75;31,558.25
Nov 8, 2024;Nov 9, 2024;103,898.75;38,231.50;92,861.00;178,922.50;22,366.25;2,182.25;-;313,307.75;150,350.75;313,584.75;20,232.00;29,679.25
Nov 9, 2024;Nov 10, 2024;103,759.00;35,260.25;36,034.50;75,900.50;49,345.00;2,166.00;-;306,004.75;145,211.00;240,969.25;20,233.75;29,658.75
Nov 10, 2024;Nov 11, 2024;103,059.25;33,599.00;32,794.50;28,174.25;33,144.00;2,144.25;-;282,997.25;117,216.25;228,042.75;17,215.25;27,608.25
Nov 11, 2024;Nov 12, 2024;103,057.75;35,121.00;115,053.75;143,897.00;27,936.75;2,257.75;-;282,853.00;155,202.50;299,520.50;24,205.00;27,713.75
Nov 12, 2024;Nov 13, 2024;102,899.00;41,291.75;28,060.00;112,799.00;30,767.50;2,540.75;-;295,476.00;165,611.75;345,911.75;35,740.50;34,698.75
Nov 13, 2024;Nov 14, 2024;103,589.50;39,407.25;75,463.00;95,245.25;21,447.50;2,598.00;-;314,894.75;169,619.50;356,775.75;39,358.25;35,754.75
Nov 14, 2024;Nov 15, 2024;103,319.25;34,132.25;129,442.50;266,631.75;32,121.25;2,464.75;-;306,364.50;154,654.00;317,363.50;21,213.25;32,438.25
Nov 15, 2024;Nov 16, 2024;104,355.00;31,234.75;84,311.25;202,323.75;35,854.00;2,700.75;-;302,251.75;154,726.75;298,986.00;28,777.25;32,475.50
Nov 16, 2024;Nov 17, 2024;104,259.25;29,502.00;114,046.75;477,707.50;50,240.25;2,639.25;-;233,778.00;97,839.25;183,885.25;17,373.00;29,164.50
Nov 17, 2024;Nov 18, 2024;103,612.50;29,123.75;111,463.50;682,729.00;42,262.75;2,567.75;-;141,329.50;85,899.00;132,922.25;14,384.25;29,545.75
Nov 18, 2024;Nov 19, 2024;104,482.25;30,221.50;129,161.50;560,554.75;53,988.25;2,609.75;-;215,139.50;141,269.50;204,125.50;27,204.00;31,188.75
Nov 19, 2024;Nov 20, 2024;103,908.50;31,000.25;49,661.50;497,648.75;22,762.75;2,674.75;-;282,965.50;152,461.50;255,980.50;22,525.75;31,943.00
Nov 20, 2024;Nov 21, 2024;104,320.50;32,865.75;60,365.00;507,174.50;49,104.50;2,854.75;-;285,263.00;136,503.50;199,464.75;18,168.25;31,677.50
Nov 21, 2024;Nov 22, 2024;104,695.75;34,029.75;88,029.00;430,295.00;44,570.75;2,807.00;-;278,661.25;123,431.75;287,937.00;35,340.75;32,362.50
Nov 22, 2024;Nov 23, 2024;104,686.25;34,715.50;120,042.00;618,849.00;39,387.00;2,949.75;-;261,940.50;120,436.50;211,600.75;21,594.00;31,080.75
Nov 23, 2024;Nov 24, 2024;104,155.50;31,318.00;99,948.50;653,049.00;57,559.00;2,621.00;-;156,761.50;62,733.00;152,225.75;8,644.50;30,700.25
Nov 24, 2024;Nov 25, 2024;102,143.75;30,011.50;123,895.25;861,211.50;53,476.25;2,557.75;-;85,867.25;47,178.00;93,737.75;13,581.50;29,688.00
Nov 25, 2024;Nov 26, 2024;102,591.25;31,132.75;69,447.75;763,374.50;64,335.50;2,679.75;-;162,903.00;75,171.50;171,610.25;24,676.50;30,508.75
Nov 26, 2024;Nov 27, 2024;102,177.50;36,728.75;114,280.00;423,126.50;57,905.75;2,646.75;-;266,405.50;121,424.25;241,278.25;22,583.25;37,616.25
Nov 27, 2024;Nov 28, 2024;102,119.75;38,428.25;84,294.25;542,509.75;62,890.50;2,883.25;-;257,475.00;112,053.75;216,281.00;25,115.00;33,190.25
Nov 28, 2024;Nov 29, 2024;103,183.00;35,576.50;85,049.25;735,305.75;34,476.50;2,701.25;-;232,288.50;108,706.00;225,257.25;15,223.25;26,961.50
Nov 29, 2024;Nov 30, 2024;104,931.75;38,035.00;67,418.25;154,327.75;63,288.00;2,777.75;-;282,467.00;144,724.25;288,600.75;30,180.25;36,181.25
Nov 30, 2024;Dec 1, 2024;104,866.50;33,790.25;104,581.75;349,610.00;111,290.00;2,863.50;-;273,568.25;95,348.50;175,593.00;18,800.50;30,842.75
